No,Sheet,VN Word,VN Example,JP Word,JP Example,EN Word,EN Example,Tag
481,Core Extended,Tất,Đôi tất.,<ruby>靴下<rt>くつした</rt></ruby>,<ruby>靴下<rt>くつした</rt></ruby>。,Socks,Socks.,Clothing
482,Core Extended,Khăn,Khăn quàng cổ.,マフラー,マフラー。,Scarf,Scarf.,Clothing
483,Core Extended,Ô,Mang ô đi.,<ruby>傘<rt>かさ</rt></ruby>,<ruby>傘<rt>かさ</rt></ruby>を<ruby>持<rt>も</rt></ruby>って。,Umbrella,Bring an umbrella.,Clothing
484,Core Extended,Cà vạt,Đeo cà vạt.,ネクタイ,ネクタイをして。,Tie,Wear a tie.,Clothing
485,Core Extended,Ví,Ví ở đâu?,<ruby>財布<rt>さいふ</rt></ruby>,<ruby>財布<rt>さいふ</rt></ruby>はどこ？,Wallet,Where's the wallet?,Clothing
486,Core Extended,Chìa khóa,Chìa khóa phòng.,<ruby>鍵<rt>かぎ</rt></ruby>,<ruby>部屋<rt>へや</rt></ruby>の<ruby>鍵<rt>かぎ</rt></ruby>。,Key,Room key.,Clothing
487,Core Extended,Khăn tắm,Cho tôi khăn tắm.,タオル,タオルをください。,Towel,Give me a towel.,Clothing
488,Core Extended,Chăn,Thêm chăn.,<ruby>毛布<rt>もうふ</rt></ruby>,<ruby>毛布<rt>もうふ</rt></ruby>をもう<ruby>一枚<rt>いちまい</rt></ruby>。,Blanket,One more blanket.,Clothing
489,Core Extended,Gối,Gối mềm.,<ruby>枕<rt>まくら</rt></ruby>,<ruby>柔<rt>やわ</rt></ruby>らかい<ruby>枕<rt>まくら</rt></ruby>。,Pillow,Soft pillow.,Clothing
490,Core Extended,Xà phòng,Xà phòng ở đâu?,<ruby>石鹸<rt>せっけん</rt></ruby>,<ruby>石鹸<rt>せっけん</rt></ruby>はどこ？,Soap,Where's the soap?,Clothing
491,Core Extended,Bàn chải,Bàn chải đánh răng.,<ruby>歯<rt>は</rt></ruby>ブラシ,<ruby>歯<rt>は</rt></ruby>ブラシ。,Toothbrush,Toothbrush.,Clothing
492,Core Extended,Gương,Gương soi.,<ruby>鏡<rt>かがみ</rt></ruby>,<ruby>鏡<rt>かがみ</rt></ruby>。,Mirror,Mirror.,Clothing
493,Core Extended,Lược,Lược chải tóc.,<ruby>櫛<rt>くし</rt></ruby>,<ruby>櫛<rt>くし</rt></ruby>。,Comb,Comb.,Clothing
494,Core Extended,Gỗ,Bàn gỗ.,<ruby>木<rt>き</rt></ruby>,<ruby>木<rt>き</rt></ruby>のテーブル。,Wood,Wooden table.,Nature
495,Core Extended,Kim loại,Cửa kim loại.,<ruby>金属<rt>きんぞく</rt></ruby>,<ruby>金属<rt>きんぞく</rt></ruby>のドア。,Metal,Metal door.,Nature
496,Core Extended,Nhựa,Túi nhựa.,プラスチック,プラスチックの<ruby>袋<rt>ふくろ</rt></ruby>。,Plastic,Plastic bag.,Nature
497,Core Extended,Kính (vật liệu),Cốc kính.,ガラス,ガラスのコップ。,Glass,Glass cup.,Nature
498,Core Extended,Giấy,Tờ giấy.,<ruby>紙<rt>かみ</rt></ruby>,<ruby>紙<rt>かみ</rt></ruby>。,Paper,Paper.,Nature
499,Core Extended,Đá,Đá cứng.,<ruby>石<rt>いし</rt></ruby>,<ruby>硬<rt>かた</rt></ruby>い<ruby>石<rt>いし</rt></ruby>。,Stone,Hard stone.,Nature
500,Core Extended,Vàng,Nhẫn vàng.,<ruby>金<rt>きん</rt></ruby>,<ruby>金<rt>きん</rt></ruby>の<ruby>指輪<rt>ゆびわ</rt></ruby>。,Gold,Gold ring.,Nature
501,Core Extended,Bạc,Dây chuyền bạc.,<ruby>銀<rt>ぎん</rt></ruby>,<ruby>銀<rt>ぎん</rt></ruby>のネックレス。,Silver,Silver necklace.,Nature
502,Core Extended,Cây,Cây xanh.,<ruby>木<rt>き</rt></ruby>,<ruby>緑<rt>みどり</rt></ruby>の<ruby>木<rt>き</rt></ruby>。,Tree,Green tree.,Nature
503,Core Extended,Núi,Núi cao.,<ruby>山<rt>やま</rt></ruby>,<ruby>高<rt>たか</rt></ruby>い<ruby>山<rt>やま</rt></ruby>。,Mountain,Tall mountain.,Nature
504,Core Extended,Sông,Sông dài.,<ruby>川<rt>かわ</rt></ruby>,<ruby>長<rt>なが</rt></ruby>い<ruby>川<rt>かわ</rt></ruby>。,River,Long river.,Nature
505,Core Extended,Biển,Đi biển.,<ruby>海<rt>うみ</rt></ruby>,<ruby>海<rt>うみ</rt></ruby>に<ruby>行<rt>い</rt></ruby>く。,Sea,Go to the sea.,Nature
506,Core Extended,Bãi biển,Bãi biển đẹp.,ビーチ,<ruby>綺麗<rt>きれい</rt></ruby>なビーチ。,Beach,Beautiful beach.,Nature
507,Core Extended,Đảo,Đảo nhỏ.,<ruby>島<rt>しま</rt></ruby>,<ruby>小<rt>ちい</rt></ruby>さな<ruby>島<rt>しま</rt></ruby>。,Island,Small island.,Nature
508,Core Extended,Hồ,Hồ lớn.,<ruby>湖<rt>みずうみ</rt></ruby>,<ruby>大<rt>おお</rt></ruby>きな<ruby>湖<rt>みずうみ</rt></ruby>。,Lake,Big lake.,Nature
509,Core Extended,Rừng,Rừng rậm.,<ruby>森<rt>もり</rt></ruby>,<ruby>深<rt>ふか</rt></ruby>い<ruby>森<rt>もり</rt></ruby>。,Forest,Dense forest.,Nature
510,Core Extended,Vườn,Vườn hoa đẹp.,<ruby>庭<rt>にわ</rt></ruby>,<ruby>綺麗<rt>きれい</rt></ruby>な<ruby>花<rt>はな</rt></ruby><ruby>園<rt>えん</rt></ruby>。,Garden,Beautiful garden.,Nature
511,Core Extended,Trời,Trời đẹp.,<ruby>空<rt>そら</rt></ruby>,<ruby>空<rt>そら</rt></ruby>が<ruby>綺麗<rt>きれい</rt></ruby>。,Sky,Nice sky.,Nature
512,Core Extended,Mây,Mây trắng.,<ruby>雲<rt>くも</rt></ruby>,<ruby>白<rt>しろ</rt></ruby>い<ruby>雲<rt>くも</rt></ruby>。,Cloud,White clouds.,Nature
513,Core Extended,Sao,Sao sáng.,<ruby>星<rt>ほし</rt></ruby>,<ruby>星<rt>ほし</rt></ruby>が<ruby>光<rt>ひか</rt></ruby>っている。,Star,Bright stars.,Nature
514,Core Extended,Trăng,Trăng tròn.,<ruby>月<rt>つき</rt></ruby>,<ruby>満月<rt>まんげつ</rt></ruby>。,Moon,Full moon.,Nature
515,Core Extended,Mặt trời,Mặt trời mọc.,<ruby>太陽<rt>たいよう</rt></ruby>,<ruby>日<rt>ひ</rt></ruby>の<ruby>出<rt>で</rt></ruby>。,Sun,Sunrise.,Nature
516,Core Extended,Đất,Đất mềm.,<ruby>土<rt>つち</rt></ruby>,<ruby>柔<rt>やわ</rt></ruby>らかい<ruby>土<rt>つち</rt></ruby>。,Soil / Earth,Soft soil.,Nature
517,Core Extended,Lửa,Cẩn thận lửa.,<ruby>火<rt>ひ</rt></ruby>,<ruby>火<rt>ひ</rt></ruby>に<ruby>注意<rt>ちゅうい</rt></ruby>。,Fire,Be careful with fire.,Nature
518,Core Extended,Không khí,Không khí trong lành.,<ruby>空気<rt>くうき</rt></ruby>,<ruby>空気<rt>くうき</rt></ruby>が<ruby>綺麗<rt>きれい</rt></ruby>。,Air,Fresh air.,Nature
519,Core Extended,Lá,Lá vàng rơi.,<ruby>葉<rt>は</rt></ruby>,<ruby>黄色<rt>きいろ</rt></ruby>い<ruby>葉<rt>は</rt></ruby>が<ruby>落<rt>お</rt></ruby>ちる。,Leaf,Yellow leaves falling.,Nature
520,Core Extended,Hoa,Hoa đẹp.,<ruby>花<rt>はな</rt></ruby>,<ruby>綺麗<rt>きれい</rt></ruby>な<ruby>花<rt>はな</rt></ruby>。,Flower,Beautiful flower.,Nature
521,Core Extended,Sóng,Sóng lớn.,<ruby>波<rt>なみ</rt></ruby>,<ruby>大<rt>おお</rt></ruby>きな<ruby>波<rt>なみ</rt></ruby>。,Wave,Big waves.,Nature
522,Core Extended,Tuyết,Có tuyết.,<ruby>雪<rt>ゆき</rt></ruby>,<ruby>雪<rt>ゆき</rt></ruby>が<ruby>降<rt>ふ</rt></ruby>っている。,Snow,It's snowing.,Nature
523,Core Extended,Cát,Cát trắng.,<ruby>砂<rt>すな</rt></ruby>,<ruby>白<rt>しろ</rt></ruby>い<ruby>砂<rt>すな</rt></ruby>。,Sand,White sand.,Nature
524,Core Extended,Phòng,Phòng số mấy?,<ruby>部屋<rt>へや</rt></ruby>,<ruby>何号<rt>なんごう</rt></ruby><ruby>室<rt>しつ</rt></ruby>？,Room,Room number?,Building
525,Core Extended,Cửa,Mở cửa.,ドア,ドアを<ruby>開<rt>あ</rt></ruby>けて。,Door,Open the door.,Building
526,Core Extended,Cửa sổ,Mở cửa sổ.,<ruby>窓<rt>まど</rt></ruby>,<ruby>窓<rt>まど</rt></ruby>を<ruby>開<rt>あ</rt></ruby>けて。,Window,Open the window.,Building
527,Core Extended,Tường,Tường trắng.,<ruby>壁<rt>かべ</rt></ruby>,<ruby>白<rt>しろ</rt></ruby>い<ruby>壁<rt>かべ</rt></ruby>。,Wall,White wall.,Building
528,Core Extended,Sàn,Sàn sạch.,<ruby>床<rt>ゆか</rt></ruby>,<ruby>床<rt>ゆか</rt></ruby>が<ruby>綺麗<rt>きれい</rt></ruby>。,Floor,Clean floor.,Building
529,Core Extended,Cầu thang,Đi cầu thang.,<ruby>階段<rt>かいだん</rt></ruby>,<ruby>階段<rt>かいだん</rt></ruby>で<ruby>行<rt>い</rt></ruby>こう。,Stairs,Take the stairs.,Building
530,Core Extended,Thang máy,Thang máy ở đâu?,エレベーター,エレベーターはどこ？,Elevator,Where's the elevator?,Building
531,Core Extended,Bếp,Bếp rộng.,キッチン,<ruby>広<rt>ひろ</rt></ruby>いキッチン。,Kitchen,Spacious kitchen.,Building
532,Core Extended,Phòng tắm,Phòng tắm ở đâu?,トイレ / お<ruby>風呂<rt>ふろ</rt></ruby>,トイレはどこ？,Bathroom,Where's the bathroom?,Building
533,Core Extended,Phòng ngủ,Phòng ngủ lớn.,<ruby>寝室<rt>しんしつ</rt></ruby>,<ruby>大<rt>おお</rt></ruby>きい<ruby>寝室<rt>しんしつ</rt></ruby>。,Bedroom,Big bedroom.,Building
534,Core Extended,Văn phòng,Văn phòng tầng 5.,オフィス,5<ruby>階<rt>かい</rt></ruby>のオフィス。,Office,Office on 5th floor.,Building
535,Core Extended,Trường học,Trường học gần.,<ruby>学校<rt>がっこう</rt></ruby>,<ruby>学校<rt>がっこう</rt></ruby>が<ruby>近<rt>ちか</rt></ruby>い。,School,School is near.,Building
536,Core Extended,Ngân hàng,Ngân hàng ở đâu?,<ruby>銀行<rt>ぎんこう</rt></ruby>,<ruby>銀行<rt>ぎんこう</rt></ruby>はどこ？,Bank,Where's the bank?,Building
537,Core Extended,Thư viện,Đi thư viện.,<ruby>図書館<rt>としょかん</rt></ruby>,<ruby>図書館<rt>としょかん</rt></ruby>に<ruby>行<rt>い</rt></ruby>く。,Library,Go to the library.,Building
538,Core Extended,Chợ,Đi chợ.,<ruby>市場<rt>いちば</rt></ruby>,<ruby>市場<rt>いちば</rt></ruby>に<ruby>行<rt>い</rt></ruby>く。,Market,Go to the market.,Building
539,Core Extended,Bưu điện,Gửi thư ở bưu điện.,<ruby>郵便局<rt>ゆうびんきょく</rt></ruby>,<ruby>郵便局<rt>ゆうびんきょく</rt></ruby>で<ruby>手紙<rt>てがみ</rt></ruby>を<ruby>出<rt>だ</rt></ruby>す。,Post office,Send mail at post office.,Building
540,Core Extended,Bảo tàng,Tham quan bảo tàng.,<ruby>博物館<rt>はくぶつかん</rt></ruby>,<ruby>博物館<rt>はくぶつかん</rt></ruby>を<ruby>見学<rt>けんがく</rt></ruby>する。,Museum,Visit the museum.,Building
541,Core Extended,Chùa,Thăm chùa.,お<ruby>寺<rt>てら</rt></ruby>,お<ruby>寺<rt>てら</rt></ruby>を<ruby>訪<rt>たず</rt></ruby>ねる。,Temple / Pagoda,Visit a temple.,Building
542,Core Extended,Công viên,Đi công viên.,<ruby>公園<rt>こうえん</rt></ruby>,<ruby>公園<rt>こうえん</rt></ruby>に<ruby>行<rt>い</rt></ruby>く。,Park,Go to the park.,Building
543,Core Extended,Rạp chiếu phim,Xem phim ở rạp.,<ruby>映画館<rt>えいがかん</rt></ruby>,<ruby>映画館<rt>えいがかん</rt></ruby>で<ruby>映画<rt>えいが</rt></ruby>を<ruby>見<rt>み</rt></ruby>る。,Cinema,Watch movie at cinema.,Building
544,Core Extended,Nhà thờ,Nhà thờ cổ.,<ruby>教会<rt>きょうかい</rt></ruby>,<ruby>古<rt>ふる</rt></ruby>い<ruby>教会<rt>きょうかい</rt></ruby>。,Church,Old church.,Building
545,Core Extended,Siêu thị,Đi siêu thị.,スーパー,スーパーに<ruby>行<rt>い</rt></ruby>く。,Supermarket,Go to supermarket.,Building
546,Core Extended,Phòng gym,Tập gym mỗi ngày.,ジム,<ruby>毎日<rt>まいにち</rt></ruby>ジムに<ruby>行<rt>い</rt></ruby>く。,Gym,Go to gym daily.,Building
547,Core Extended,Đồn cảnh sát,Đồn cảnh sát gần nhất.,<ruby>警察署<rt>けいさつしょ</rt></ruby>,<ruby>一番<rt>いちばん</rt></ruby><ruby>近<rt>ちか</rt></ruby>い<ruby>警察署<rt>けいさつしょ</rt></ruby>は。,Police station,Nearest police station.,Building
548,Core Extended,Nhà máy,Nhà máy sản xuất.,<ruby>工場<rt>こうじょう</rt></ruby>,<ruby>製造<rt>せいぞう</rt></ruby><ruby>工場<rt>こうじょう</rt></ruby>。,Factory,Manufacturing factory.,Building
549,Core Extended,Trường,Trường đại học.,<ruby>大学<rt>だいがく</rt></ruby>,<ruby>大学<rt>だいがく</rt></ruby>。,University,University.,Education
550,Core Extended,Giáo viên,Giáo viên giỏi.,<ruby>先生<rt>せんせい</rt></ruby>,いい<ruby>先生<rt>せんせい</rt></ruby>。,Teacher,Good teacher.,Education
551,Core Extended,Học sinh,Học sinh chăm.,<ruby>生徒<rt>せいと</rt></ruby>,<ruby>真面目<rt>まじめ</rt></ruby>な<ruby>生徒<rt>せいと</rt></ruby>。,Student,Diligent student.,Education
552,Core Extended,Lớp,Lớp học đông.,クラス,クラスが<ruby>多<rt>おお</rt></ruby>い。,Class,Crowded class.,Education
553,Core Extended,Bài,Bài khó.,<ruby>問題<rt>もんだい</rt></ruby>,<ruby>難<rt>むずか</rt></ruby>しい<ruby>問題<rt>もんだい</rt></ruby>。,Lesson / Problem,Difficult problem.,Education
554,Core Extended,Thi,Thi cử khó.,<ruby>試験<rt>しけん</rt></ruby>,<ruby>試験<rt>しけん</rt></ruby>が<ruby>難<rt>むずか</rt></ruby>しい。,Exam,Difficult exam.,Education
555,Core Extended,Sách,Đọc sách.,<ruby>本<rt>ほん</rt></ruby>,<ruby>本<rt>ほん</rt></ruby>を<ruby>読<rt>よ</rt></ruby>む。,Book,Read a book.,Education
556,Core Extended,Vở,Viết vào vở.,ノート,ノートに<ruby>書<rt>か</rt></ruby>く。,Notebook,Write in notebook.,Education
557,Core Extended,Bút,Cho mượn bút.,ペン,ペンを<ruby>貸<rt>か</rt></ruby>して。,Pen,Lend me a pen.,Education
558,Core Extended,Máy tính,Dùng máy tính.,パソコン,パソコンを<ruby>使<rt>つか</rt></ruby>う。,Computer,Use a computer.,Education
559,Core Extended,Internet,Có internet không?,インターネット,インターネットはある？,Internet,Is there internet?,Education
560,Core Extended,Email,Gửi email.,メール,メールを<ruby>送<rt>おく</rt></ruby>る。,Email,Send an email.,Education
561,Core Extended,Sếp,Sếp đang họp.,<ruby>上司<rt>じょうし</rt></ruby>,<ruby>上司<rt>じょうし</rt></ruby>は<ruby>会議中<rt>かいぎちゅう</rt></ruby>。,Boss,Boss is in a meeting.,Work
562,Core Extended,Đồng nghiệp,Đồng nghiệp tốt.,<ruby>同僚<rt>どうりょう</rt></ruby>,いい<ruby>同僚<rt>どうりょう</rt></ruby>。,Colleague,Good colleague.,Work
563,Core Extended,Lương,Lương tháng này.,<ruby>給料<rt>きゅうりょう</rt></ruby>,<ruby>今月<rt>こんげつ</rt></ruby>の<ruby>給料<rt>きゅうりょう</rt></ruby>。,Salary,This month's salary.,Work
564,Core Extended,Nghỉ phép,Xin nghỉ phép.,<ruby>休暇<rt>きゅうか</rt></ruby>,<ruby>休暇<rt>きゅうか</rt></ruby>を<ruby>申請<rt>しんせい</rt></ruby>します。,Leave / Vacation,Request leave.,Work
565,Core Extended,Kỹ năng,Kỹ năng giao tiếp.,スキル,コミュニケーションスキル。,Skill,Communication skill.,Work
566,Core Extended,Kiến thức,Kiến thức chuyên môn.,<ruby>知識<rt>ちしき</rt></ruby>,<ruby>専門<rt>せんもん</rt></ruby><ruby>知識<rt>ちしき</rt></ruby>。,Knowledge,Expert knowledge.,Work
567,Core Extended,Bằng cấp,Có bằng cấp gì?,<ruby>資格<rt>しかく</rt></ruby>,どんな<ruby>資格<rt>しかく</rt></ruby>がありますか。,Degree / Certificate,What certificates?,Work
568,Core Extended,Dự án,Dự án mới.,プロジェクト,<ruby>新<rt>あたら</rt></ruby>しいプロジェクト。,Project,New project.,Work
569,Core Extended,Nhóm,Làm việc nhóm.,チーム,チームで<ruby>働<rt>はたら</rt></ruby>く。,Team,Work as a team.,Work
570,Core Extended,Phòng ban,Phòng ban nào?,<ruby>部署<rt>ぶしょ</rt></ruby>,どの<ruby>部署<rt>ぶしょ</rt></ruby>？,Department,Which department?,Work
571,Core Extended,Thăng chức,Được thăng chức.,<ruby>昇進<rt>しょうしん</rt></ruby>する,<ruby>昇進<rt>しょうしん</rt></ruby>した。,Promotion,Got promoted.,Work
572,Core Extended,Hạn chót,Hạn chót ngày mai.,<ruby>締切<rt>しめきり</rt></ruby>,<ruby>締切<rt>しめきり</rt></ruby>は<ruby>明日<rt>あした</rt></ruby>。,Deadline,Deadline is tomorrow.,Work
573,Core Extended,Họp,Họp lúc mấy giờ?,<ruby>会議<rt>かいぎ</rt></ruby>,<ruby>会議<rt>かいぎ</rt></ruby>は<ruby>何時<rt>なんじ</rt></ruby>？,Meeting,What time is the meeting?,Work
574,Core Extended,Báo cáo,Nộp báo cáo.,<ruby>報告<rt>ほうこく</rt></ruby>,<ruby>報告書<rt>ほうこくしょ</rt></ruby>を<ruby>提出<rt>ていしゅつ</rt></ruby>。,Report,Submit the report.,Work
575,Core Extended,Trình bày,Trình bày kế hoạch.,プレゼンする,<ruby>計画<rt>けいかく</rt></ruby>をプレゼンする。,To present,Present the plan.,Work
576,Core Extended,Nghỉ hưu,Sắp nghỉ hưu.,<ruby>退職<rt>たいしょく</rt></ruby>する,もうすぐ<ruby>退職<rt>たいしょく</rt></ruby>。,To retire,About to retire.,Work
577,Core Extended,Tuyển dụng,Đang tuyển dụng.,<ruby>採用<rt>さいよう</rt></ruby>する,<ruby>採用<rt>さいよう</rt></ruby><ruby>中<rt>ちゅう</rt></ruby>。,To recruit,Currently hiring.,Work
578,Core Extended,Đào tạo,Chương trình đào tạo.,<ruby>研修<rt>けんしゅう</rt></ruby>,<ruby>研修<rt>けんしゅう</rt></ruby>プログラム。,Training,Training program.,Work
579,Core Extended,Thời gian,Không có thời gian.,<ruby>時間<rt>じかん</rt></ruby>,<ruby>時間<rt>じかん</rt></ruby>がない。,Time,No time.,Abstract
580,Core Extended,Tiền bạc,Tiền bạc không quan trọng nhất.,お<ruby>金<rt>かね</rt></ruby>,お<ruby>金<rt>かね</rt></ruby>が<ruby>一番<rt>いちばん</rt></ruby><ruby>大事<rt>だいじ</rt></ruby>ではない。,Money,Money isn't everything.,Abstract
581,Core Extended,Tình yêu,Tình yêu đẹp.,<ruby>愛<rt>あい</rt></ruby>,<ruby>美<rt>うつく</rt></ruby>しい<ruby>愛<rt>あい</rt></ruby>。,Love,Beautiful love.,Abstract
582,Core Extended,Sức khỏe,Sức khỏe là nhất.,<ruby>健康<rt>けんこう</rt></ruby>,<ruby>健康<rt>けんこう</rt></ruby>が<ruby>一番<rt>いちばん</rt></ruby>。,Health,Health is number one.,Abstract
583,Core Extended,Tự do,Tự do quan trọng.,<ruby>自由<rt>じゆう</rt></ruby>,<ruby>自由<rt>じゆう</rt></ruby>は<ruby>大切<rt>たいせつ</rt></ruby>。,Freedom,Freedom is important.,Abstract
584,Core Extended,Hòa bình,Mong hòa bình.,<ruby>平和<rt>へいわ</rt></ruby>,<ruby>平和<rt>へいわ</rt></ruby>を<ruby>願<rt>ねが</rt></ruby>う。,Peace,Wish for peace.,Abstract
585,Core Extended,Cuộc sống,Cuộc sống vui.,<ruby>人生<rt>じんせい</rt></ruby>,<ruby>楽<rt>たの</rt></ruby>しい<ruby>人生<rt>じんせい</rt></ruby>。,Life,Happy life.,Abstract
586,Core Extended,Cái chết,Không sợ cái chết.,<ruby>死<rt>し</rt></ruby>,<ruby>死<rt>し</rt></ruby>を<ruby>恐<rt>おそ</rt></ruby>れない。,Death,Not afraid of death.,Abstract
587,Core Extended,Sự thật,Nói sự thật.,<ruby>真実<rt>しんじつ</rt></ruby>,<ruby>真実<rt>しんじつ</rt></ruby>を<ruby>話<rt>はな</rt></ruby>す。,Truth,Tell the truth.,Abstract
588,Core Extended,Nói dối,Đừng nói dối.,<ruby>嘘<rt>うそ</rt></ruby>,<ruby>嘘<rt>うそ</rt></ruby>をつかないで。,Lie,Don't lie.,Abstract
589,Core Extended,Giấc mơ,Giấc mơ lớn.,<ruby>夢<rt>ゆめ</rt></ruby>,<ruby>大<rt>おお</rt></ruby>きな<ruby>夢<rt>ゆめ</rt></ruby>。,Dream,Big dream.,Abstract
590,Core Extended,Hy vọng,Tôi hy vọng.,<ruby>希望<rt>きぼう</rt></ruby>,<ruby>希望<rt>きぼう</rt></ruby>しています。,Hope,I hope so.,Abstract
591,Core Extended,Nỗi sợ,Vượt qua nỗi sợ.,<ruby>恐怖<rt>きょうふ</rt></ruby>,<ruby>恐怖<rt>きょうふ</rt></ruby>を<ruby>乗<rt>の</rt></ruby>り<ruby>越<rt>こ</rt></ruby>える。,Fear,Overcome fear.,Abstract
592,Core Extended,Giận,Đừng giận.,<ruby>怒<rt>おこ</rt></ruby>り,<ruby>怒<rt>おこ</rt></ruby>らないで。,Anger,Don't be angry.,Abstract
593,Core Extended,Niềm vui,Niềm vui lớn.,<ruby>喜<rt>よろこ</rt></ruby>び,<ruby>大<rt>おお</rt></ruby>きな<ruby>喜<rt>よろこ</rt></ruby>び。,Joy,Great joy.,Abstract
594,Core Extended,Tôn trọng,Tôn trọng nhau.,<ruby>尊重<rt>そんちょう</rt></ruby>する,お<ruby>互<rt>たが</rt></ruby>いを<ruby>尊重<rt>そんちょう</rt></ruby>する。,Respect,Respect each other.,Abstract
595,Core Extended,Tin tưởng,Tôi tin tưởng anh.,<ruby>信頼<rt>しんらい</rt></ruby>する,あなたを<ruby>信頼<rt>しんらい</rt></ruby>しています。,Trust,I trust you.,Abstract
596,Core Extended,Trách nhiệm,Đó là trách nhiệm của tôi.,<ruby>責任<rt>せきにん</rt></ruby>,<ruby>私<rt>わたし</rt></ruby>の<ruby>責任<rt>せきにん</rt></ruby>です。,Responsibility,That's my responsibility.,Abstract
597,Core Extended,Thành công,Chúc thành công.,<ruby>成功<rt>せいこう</rt></ruby>,<ruby>成功<rt>せいこう</rt></ruby>を<ruby>祈<rt>いの</rt></ruby>ります。,Success,Wish you success.,Abstract
598,Core Extended,Thất bại,Thất bại là mẹ thành công.,<ruby>失敗<rt>しっぱい</rt></ruby>,<ruby>失敗<rt>しっぱい</rt></ruby>は<ruby>成功<rt>せいこう</rt></ruby>の<ruby>母<rt>はは</rt></ruby>。,Failure,Failure is mother of success.,Abstract
599,Core Extended,Cơ hội,Đây là cơ hội tốt.,チャンス,いいチャンスです。,Opportunity,Good opportunity.,Abstract
600,Core Extended,Rủi ro,Rủi ro cao.,リスク,リスクが<ruby>高<rt>たか</rt></ruby>い。,Risk,High risk.,Abstract
601,Core Extended,Văn hóa,Văn hóa Việt Nam.,<ruby>文化<rt>ぶんか</rt></ruby>,ベトナムの<ruby>文化<rt>ぶんか</rt></ruby>。,Culture,Vietnamese culture.,Abstract
602,Core Extended,Lịch sử,Lịch sử lâu đời.,<ruby>歴史<rt>れきし</rt></ruby>,<ruby>長<rt>なが</rt></ruby>い<ruby>歴史<rt>れきし</rt></ruby>。,History,Long history.,Abstract
603,Core Extended,Tương lai,Tương lai tươi sáng.,<ruby>未来<rt>みらい</rt></ruby>,<ruby>明<rt>あか</rt></ruby>るい<ruby>未来<rt>みらい</rt></ruby>。,Future,Bright future.,Abstract
604,Core Extended,Quá khứ,Quên quá khứ.,<ruby>過去<rt>かこ</rt></ruby>,<ruby>過去<rt>かこ</rt></ruby>を<ruby>忘<rt>わす</rt></ruby>れよう。,Past,Forget the past.,Abstract
605,Core Extended,Hiện tại,Sống ở hiện tại.,<ruby>現在<rt>げんざい</rt></ruby>,<ruby>今<rt>いま</rt></ruby>を<ruby>生<rt>い</rt></ruby>きよう。,Present,Live in the present.,Abstract
606,Core Extended,Ký ức,Ký ức đẹp.,<ruby>思<rt>おも</rt></ruby>い<ruby>出<rt>で</rt></ruby>,<ruby>綺麗<rt>きれい</rt></ruby>な<ruby>思<rt>おも</rt></ruby>い<ruby>出<rt>で</rt></ruby>。,Memory,Beautiful memory.,Abstract
607,Core Extended,Kinh nghiệm,Có kinh nghiệm không?,<ruby>経験<rt>けいけん</rt></ruby>,<ruby>経験<rt>けいけん</rt></ruby>はありますか。,Experience,Do you have experience?,Abstract
608,Core Extended,Thói quen,Thói quen tốt.,<ruby>習慣<rt>しゅうかん</rt></ruby>,いい<ruby>習慣<rt>しゅうかん</rt></ruby>。,Habit,Good habit.,Abstract
609,Core Extended,Tất cả,Tất cả đều tốt.,<ruby>全部<rt>ぜんぶ</rt></ruby>,<ruby>全部<rt>ぜんぶ</rt></ruby><ruby>良<rt>よ</rt></ruby>い。,All,All good.,Quantity
610,Core Extended,Mỗi,Mỗi ngày.,<ruby>毎<rt>まい</rt></ruby>,<ruby>毎日<rt>まいにち</rt></ruby>。,Every,Every day.,Quantity
611,Core Extended,Một số,Một số người.,<ruby>何人<rt>なんにん</rt></ruby>か,<ruby>何人<rt>なんにん</rt></ruby>か。,Some,Some people.,Quantity
612,Core Extended,Bất kỳ,Bất kỳ lúc nào.,いつでも,いつでも。,Any,Anytime.,Quantity
613,Core Extended,Không có,Không có ai.,<ruby>誰<rt>だれ</rt></ruby>もいない,<ruby>誰<rt>だれ</rt></ruby>もいない。,None,Nobody.,Quantity
614,Core Extended,Mỗi,Mỗi người một ý kiến.,それぞれ,それぞれ<ruby>意見<rt>いけん</rt></ruby>が<ruby>違<rt>ちが</rt></ruby>う。,Each,Each has an opinion.,Quantity
615,Core Extended,Cả hai,Cả hai đều tốt.,<ruby>両方<rt>りょうほう</rt></ruby>,<ruby>両方<rt>りょうほう</rt></ruby>いい。,Both,Both are good.,Quantity
616,Core Extended,Nửa,Nửa giá.,<ruby>半額<rt>はんがく</rt></ruby>,<ruby>半額<rt>はんがく</rt></ruby>。,Half,Half price.,Quantity
617,Core Extended,Gấp đôi,Gấp đôi giá.,<ruby>倍<rt>ばい</rt></ruby>,<ruby>倍<rt>ばい</rt></ruby>の<ruby>値段<rt>ねだん</rt></ruby>。,Double,Double price.,Quantity
618,Core Extended,Đủ,Đủ rồi.,<ruby>十分<rt>じゅうぶん</rt></ruby>,もう<ruby>十分<rt>じゅうぶん</rt></ruby>。,Enough,That's enough.,Quantity
619,Core Extended,Quá nhiều,Quá nhiều.,<ruby>多<rt>おお</rt></ruby>すぎる,<ruby>多<rt>おお</rt></ruby>すぎる。,Too much,Too much.,Quantity
