No,Sheet,VN Word,VN(A),VN(B),JP Word,JP(A),JP(B),EN Word,EN(A),EN(B),Tag
168,Daily Phrases,Bàn cho hai người,Bàn cho hai người.,Mời anh ngồi đây.,2<ruby>人<rt>にん</rt></ruby>です,2<ruby>人<rt>にん</rt></ruby>です。,こちらへどうぞ。,Table for two,Table for two.,Right this way.,RestaurantPhrase
169,Daily Phrases,Giới thiệu món,Giới thiệu món gì ngon?,"Phở bò, đặc biệt nhà hàng.",おすすめは,おすすめは<ruby>何<rt>なん</rt></ruby>ですか。,<ruby>牛肉<rt>ぎゅうにく</rt></ruby>フォー、<ruby>当店<rt>とうてん</rt></ruby>の<ruby>名物<rt>めいぶつ</rt></ruby>です。,What's recommended?,What do you recommend?,"Beef pho, our specialty.",RestaurantPhrase
170,Daily Phrases,Không cay,Không cay được không?,"Được, không cay.",<ruby>辛<rt>から</rt></ruby>くしないで,<ruby>辛<rt>から</rt></ruby>くしないでもらえますか。,はい、<ruby>辛<rt>から</rt></ruby>くしません。,Not spicy,Can you make it not spicy?,"Sure, no spice.",RestaurantPhrase
171,Daily Phrases,Tính tiền,Tính tiền giúp tôi.,"Dạ, 300 nghìn đồng.",お<ruby>会計<rt>かいけい</rt></ruby>,お<ruby>会計<rt>かいけい</rt></ruby>お<ruby>願<rt>ねが</rt></ruby>いします。,30<ruby>万<rt>まん</rt></ruby>ドンです。,Bill please,Check please.,300K dong.,RestaurantPhrase
172,Daily Phrases,Ngon quá,Ngon quá!,"Cảm ơn, anh ăn thêm nhé.",<ruby>美味<rt>おい</rt></ruby>しい,<ruby>美味<rt>おい</rt></ruby>しい！,ありがとう、もっと<ruby>食<rt>た</rt></ruby>べてね。,Delicious!,Delicious!,"Thanks, eat more!",RestaurantPhrase
173,Daily Phrases,Mang về,Mang về được không?,"Được, đóng gói ngay.",テイクアウト,テイクアウトできますか。,はい、すぐ<ruby>包<rt>つつ</rt></ruby>みます。,Takeaway,Can I take out?,"Sure, packing now.",RestaurantPhrase
174,Daily Phrases,Chỉ xem thôi,Cần giúp gì không?,"Chỉ xem thôi, cảm ơn.",<ruby>見<rt>み</rt></ruby>ているだけ,<ruby>何<rt>なに</rt></ruby>かお<ruby>探<rt>さが</rt></ruby>しですか。,<ruby>見<rt>み</rt></ruby>ているだけです。,Just looking,Need any help?,"Just looking, thanks.",ShoppingPhrase
175,Daily Phrases,Giảm được không,Giảm được không?,Giảm 10% nhé.,<ruby>値引<rt>ねび</rt></ruby>きできますか,<ruby>値引<rt>ねび</rt></ruby>きできる？,10%<ruby>引<rt>び</rt></ruby>きで。,Any discount?,Can you give a discount?,10% off.,ShoppingPhrase
176,Daily Phrases,Lấy cái này,Quyết định chưa?,Lấy cái này.,これにする,<ruby>決<rt>き</rt></ruby>まった？,これにする。,I'll take this,Decided?,I'll take this one.,ShoppingPhrase
177,Daily Phrases,Gói quà,Gói quà được không?,"Được, miễn phí.",ラッピング,ギフトラッピングできる？,できるよ、<ruby>無料<rt>むりょう</rt></ruby>。,Gift wrap,Can you gift wrap?,"Sure, free of charge.",ShoppingPhrase
178,Daily Phrases,Đưa đến,Đưa tôi đến địa chỉ này.,"Được, khoảng 20 phút.",この<ruby>住所<rt>じゅうしょ</rt></ruby>まで,この<ruby>住所<rt>じゅうしょ</rt></ruby>までお<ruby>願<rt>ねが</rt></ruby>い。,はい、<ruby>約<rt>やく</rt></ruby>20<ruby>分<rt>ぷん</rt></ruby>。,Take me to,Go to this address.,"OK, about 20 minutes.",TransportPhrase
179,Daily Phrases,Dừng ở đây,Dừng ở đây.,Tổng cộng 50 nghìn.,ここで<ruby>止<rt>と</rt></ruby>めて,ここで<ruby>止<rt>と</rt></ruby>めてください。,<ruby>合計<rt>ごうけい</rt></ruby>5<ruby>万<rt>まん</rt></ruby>ドン。,Stop here,Stop here please.,Total is 50K dong.,TransportPhrase
180,Daily Phrases,Bao xa,Bao xa?,"5 km, 15 phút.",どのくらい<ruby>遠<rt>とお</rt></ruby>い,どのくらい？,5キロ、15<ruby>分<rt>ぷん</rt></ruby>。,How far?,How far?,"5km, 15 minutes.",TransportPhrase
181,Daily Phrases,Ghế trống,Ghế này trống không?,"Trống, mời ngồi.",この<ruby>席<rt>せき</rt></ruby><ruby>空<rt>あ</rt></ruby>いてますか,この<ruby>席<rt>せき</rt></ruby><ruby>空<rt>あ</rt></ruby>いてますか。,<ruby>空<rt>あ</rt></ruby>いてます、どうぞ。,Is this seat free?,Is this seat free?,"Yes, please sit.",TransportPhrase
182,Daily Phrases,Sinh nhật vui vẻ,Hôm nay sinh nhật anh à?,Sinh nhật vui vẻ!,<ruby>誕生日<rt>たんじょうび</rt></ruby>おめでとう,<ruby>今日<rt>きょう</rt></ruby><ruby>誕生日<rt>たんじょうび</rt></ruby>？,<ruby>誕生日<rt>たんじょうび</rt></ruby>おめでとう！,Happy birthday,Today's your birthday?,Happy birthday!,SocialPhrase
183,Daily Phrases,Chúc may mắn,Ngày mai thi hả?,Chúc may mắn!,<ruby>頑張<rt>がんば</rt></ruby>って,<ruby>明日<rt>あした</rt></ruby><ruby>試験<rt>しけん</rt></ruby>？,<ruby>頑張<rt>がんば</rt></ruby>って！,Good luck,Exam tomorrow?,Good luck!,SocialPhrase
184,Daily Phrases,Bảo trọng,Tôi về nhé.,Bảo trọng!,お<ruby>元気<rt>げんき</rt></ruby>で,もう<ruby>帰<rt>かえ</rt></ruby>るね。,お<ruby>元気<rt>げんき</rt></ruby>で！,Take care,I'm heading back.,Take care!,SocialPhrase
185,Daily Phrases,Ăn ngon miệng,Ăn cơm nhé.,Ăn ngon miệng!,<ruby>召<rt>め</rt></ruby>し<ruby>上<rt>あ</rt></ruby>がれ,ご<ruby>飯<rt>はん</rt></ruby>にしよう。,<ruby>召<rt>め</rt></ruby>し<ruby>上<rt>あ</rt></ruby>がれ！,Bon appétit,Let's eat.,Enjoy!,SocialPhrase
186,Daily Phrases,Một hai ba dô,Nâng cốc!,"Một, hai, ba, dô!",<ruby>乾杯<rt>かんぱい</rt></ruby>,グラスを<ruby>上<rt>あ</rt></ruby>げて！,いち、に、さん、<ruby>乾杯<rt>かんぱい</rt></ruby>！,Cheers!,Raise your glass!,1-2-3 cheers!,VietPhrase
187,Daily Phrases,Trời ơi,Trời ơi!,Sao vậy?,えー！,えー！,どうしたの？,Oh my God!,Oh my God!,What happened?,VietPhrase
188,Daily Phrases,Dễ thương quá,Em bé dễ thương quá!,Cảm ơn anh.,かわいい！,<ruby>赤<rt>あか</rt></ruby>ちゃんかわいい！,ありがとう。,So cute!,Such a cute baby!,Thanks.,VietPhrase
189,Daily Phrases,Tuyệt vời,Kết quả thế nào?,Tuyệt vời!,<ruby>素晴<rt>すば</rt></ruby>らしい,<ruby>結果<rt>けっか</rt></ruby>はどう？,<ruby>素晴<rt>すば</rt></ruby>らしい！,Wonderful!,How are the results?,Wonderful!,VietPhrase
190,Daily Phrases,Giỏi quá,Tiếng Việt giỏi quá!,"Cảm ơn, vẫn đang học.",すごい！,ベトナム<ruby>語<rt>ご</rt></ruby><ruby>上手<rt>じょうず</rt></ruby>！,ありがとう、まだ<ruby>勉強中<rt>べんきょうちゅう</rt></ruby>。,Great job!,Your Vietnamese is great!,"Thanks, still learning.",VietPhrase
191,Daily Phrases,Cố lên,Mệt quá.,Cố lên!,<ruby>頑張<rt>がんば</rt></ruby>って,<ruby>疲<rt>つか</rt></ruby>れた。,<ruby>頑張<rt>がんば</rt></ruby>って！,Keep going!,So tired.,Keep going!,VietPhrase
192,Daily Phrases,Ăn cơm chưa,Ăn cơm chưa?,"Chưa, đi ăn nhé.",ご<ruby>飯<rt>はん</rt></ruby><ruby>食<rt>た</rt></ruby>べた？,ご<ruby>飯<rt>はん</rt></ruby><ruby>食<rt>た</rt></ruby>べた？,まだ、<ruby>食<rt>た</rt></ruby>べに<ruby>行<rt>い</rt></ruby>こう。,Have you eaten?,Have you eaten?,"Not yet, let's go eat.",VietPhrase
193,Daily Phrases,Đi đâu đấy,Đi đâu đấy?,Đi ăn trưa.,どこ<ruby>行<rt>い</rt></ruby>くの？,どこ<ruby>行<rt>い</rt></ruby>くの？,お<ruby>昼<rt>ひる</rt></ruby><ruby>食<rt>た</rt></ruby>べに。,Where you going?,Where are you going?,Going to lunch.,VietPhrase
194,Daily Phrases,Nhậu đi,Tối nay rảnh không?,Nhậu đi!,<ruby>飲<rt>の</rt></ruby>みに<ruby>行<rt>い</rt></ruby>こう,<ruby>今夜<rt>こんや</rt></ruby><ruby>暇<rt>ひま</rt></ruby>？,<ruby>飲<rt>の</rt></ruby>みに<ruby>行<rt>い</rt></ruby>こう！,Let's go drink,Free tonight?,Let's go drinking!,VietPhrase
195,Daily Phrases,Trăm phần trăm,Uống hết nhé!,Trăm phần trăm!,100%<ruby>乾杯<rt>かんぱい</rt></ruby>,<ruby>全部<rt>ぜんぶ</rt></ruby><ruby>飲<rt>の</rt></ruby>もう！,100%！<ruby>乾杯<rt>かんぱい</rt></ruby>！,Bottoms up!,Drink it all!,100%! Cheers!,VietPhrase
196,Daily Phrases,Sao cũng được,Ăn gì?,Sao cũng được.,<ruby>何<rt>なん</rt></ruby>でもいい,<ruby>何<rt>なに</rt></ruby><ruby>食<rt>た</rt></ruby>べる？,<ruby>何<rt>なん</rt></ruby>でもいいよ。,Anything's fine,What to eat?,Anything's fine.,VietPhrase
197,Daily Phrases,Thôi đi,Nói nữa đi.,Thôi đi!,やめて,もっと<ruby>言<rt>い</rt></ruby>って。,やめてよ！,Stop it,Say more.,Stop it!,VietPhrase
198,Daily Phrases,Đâu có,Anh giỏi quá!,"Đâu có, bình thường thôi.",そんなことない,すごいね！,そんなことないよ、<ruby>普通<rt>ふつう</rt></ruby>だよ。,Not at all,You're so good!,"No way, I'm average.",VietPhrase
199,Daily Phrases,Biết rồi,Nhớ nộp báo cáo nhé.,"Biết rồi, biết rồi!",<ruby>分<rt>わ</rt></ruby>かった,<ruby>報告書<rt>ほうこくしょ</rt></ruby><ruby>忘<rt>わす</rt></ruby>れないでね。,<ruby>分<rt>わ</rt></ruby>かった<ruby>分<rt>わ</rt></ruby>かった！,I know,Don't forget the report.,"I know, I know!",VietPhrase
200,Daily Phrases,Hết sẩy,Phở này thế nào?,Hết sẩy luôn!,<ruby>最高<rt>さいこう</rt></ruby>,このフォーどう？,<ruby>最高<rt>さいこう</rt></ruby>！,Awesome!,How's this pho?,Absolutely awesome!,VietPhrase
201,Core Extended,Di chuyển,Di chuyển bằng gì?,Đi xe buýt.,<ruby>移動<rt>いどう</rt></ruby>する,<ruby>何<rt>なに</rt></ruby>で<ruby>移動<rt>いどう</rt></ruby>する？,バスで。,To move,How do you get around?,By bus.,Verb
202,Core Extended,Thay đổi,Kế hoạch có thay đổi không?,"Có, đã thay đổi rồi.",<ruby>変更<rt>へんこう</rt></ruby>する,<ruby>計画<rt>けいかく</rt></ruby>は<ruby>変<rt>か</rt></ruby>わった？,うん、<ruby>変<rt>か</rt></ruby>わった。,To change,Did the plan change?,"Yes, it changed.",Verb
203,Core Extended,Chuẩn bị,Chuẩn bị xong chưa?,Xong rồi.,<ruby>準備<rt>じゅんび</rt></ruby>する,<ruby>準備<rt>じゅんび</rt></ruby>できた？,できたよ。,To prepare,Ready?,All set.,Verb
204,Core Extended,Chọn,Chọn cái nào?,Cái này đi.,<ruby>選<rt>えら</rt></ruby>ぶ,どれにする？,これにする。,To choose,Which one?,This one.,Verb
205,Core Extended,So sánh,So sánh hai cái này giúp tôi.,Cái A rẻ hơn cái B.,<ruby>比較<rt>ひかく</rt></ruby>する,この2つを<ruby>比較<rt>ひかく</rt></ruby>して。,AのほうがBより<ruby>安<rt>やす</rt></ruby>い。,To compare,Compare these two.,A is cheaper than B.,Verb
206,Core Extended,Quyết định,Ai quyết định?,Sếp quyết định.,<ruby>決<rt>き</rt></ruby>める,<ruby>誰<rt>だれ</rt></ruby>が<ruby>決<rt>き</rt></ruby>める？,<ruby>上司<rt>じょうし</rt></ruby>が。,To decide,Who decides?,The boss decides.,Verb
207,Core Extended,Giải thích,Giải thích rõ hơn được không?,"Được, để tôi giải thích lại.",<ruby>説明<rt>せつめい</rt></ruby>する,もっと<ruby>説明<rt>せつめい</rt></ruby>して。,はい、もう<ruby>一度<rt>いちど</rt></ruby><ruby>説明<rt>せつめい</rt></ruby>します。,To explain,Can you explain more?,"Sure, let me re-explain.",Verb
208,Core Extended,Dịch,Dịch câu này giúp tôi.,Câu này nghĩa là...,<ruby>翻訳<rt>ほんやく</rt></ruby>する,これを<ruby>翻訳<rt>ほんやく</rt></ruby>して。,これは…という<ruby>意味<rt>いみ</rt></ruby>です。,To translate,Translate this for me.,This means...,Verb
209,Core Extended,Giới thiệu,Giới thiệu anh với sếp nhé.,"Vâng, cảm ơn anh.",<ruby>紹介<rt>しょうかい</rt></ruby>する,<ruby>上司<rt>じょうし</rt></ruby>に<ruby>紹介<rt>しょうかい</rt></ruby>するね。,はい、ありがとう。,To introduce,I'll introduce you to the boss.,"Yes, thank you.",Verb
210,Core Extended,Đồng ý,Anh đồng ý không?,"Đồng ý, làm đi.",<ruby>同意<rt>どうい</rt></ruby>する,<ruby>同意<rt>どうい</rt></ruby>する？,<ruby>同意<rt>どうい</rt></ruby>、やろう。,To agree,Do you agree?,"Yes, let's do it.",Verb
211,Core Extended,Phản đối,Có ai phản đối không?,Không ai phản đối.,<ruby>反対<rt>はんたい</rt></ruby>する,<ruby>反対<rt>はんたい</rt></ruby>はある？,<ruby>反対<rt>はんたい</rt></ruby>なし。,To oppose,Any objections?,No objections.,Verb
212,Core Extended,Hứa,Anh hứa nhé?,Tôi hứa.,<ruby>約束<rt>やくそく</rt></ruby>する,<ruby>約束<rt>やくそく</rt></ruby>してね。,<ruby>約束<rt>やくそく</rt></ruby>する。,To promise,Promise?,I promise.,Verb
213,Core Extended,Tham gia,Ai tham gia?,Cả nhóm tham gia.,<ruby>参加<rt>さんか</rt></ruby>する,<ruby>誰<rt>だれ</rt></ruby>が<ruby>参加<rt>さんか</rt></ruby>？,チーム<ruby>全員<rt>ぜんいん</rt></ruby>。,To join,Who's joining?,The whole team.,Verb
214,Core Extended,Rời,Mấy giờ rời văn phòng?,6 giờ.,<ruby>離<rt>はな</rt></ruby>れる,<ruby>何時<rt>なんじ</rt></ruby>にオフィスを<ruby>出<rt>で</rt></ruby>る？,6<ruby>時<rt>じ</rt></ruby>。,To leave,When do you leave office?,At 6.,Verb
215,Core Extended,Vào,Vào đi.,Cảm ơn.,<ruby>入<rt>はい</rt></ruby>る,どうぞ<ruby>入<rt>はい</rt></ruby>って。,ありがとう。,To enter,Come in.,Thank you.,Verb
216,Core Extended,Dừng,Dừng ở đây nhé?,"Được, cảm ơn.",<ruby>止<rt>と</rt></ruby>まる,ここで<ruby>止<rt>と</rt></ruby>める？,はい、ありがとう。,To stop,Stop here?,"Yes, thanks.",Verb
217,Core Extended,Tiếp tục,Tiếp tục không?,Tiếp tục đi.,<ruby>続<rt>つづ</rt></ruby>ける,<ruby>続<rt>つづ</rt></ruby>ける？,<ruby>続<rt>つづ</rt></ruby>けよう。,To continue,Continue?,Let's continue.,Verb
218,Core Extended,Thử,Thử cái này đi.,"Ngon, thử đi anh.",<ruby>試<rt>ため</rt></ruby>す,これ<ruby>試<rt>ため</rt></ruby>して。,<ruby>美味<rt>おい</rt></ruby>しいよ、<ruby>試<rt>ため</rt></ruby>して。,To try,Try this.,"It's good, try it.",Verb
219,Core Extended,Thành công,Dự án thế nào?,Thành công rồi!,<ruby>成功<rt>せいこう</rt></ruby>する,プロジェクトはどう？,<ruby>成功<rt>せいこう</rt></ruby>した！,To succeed,How's the project?,It succeeded!,Verb
220,Core Extended,Thất bại,Lần trước sao?,"Thất bại rồi, nhưng lần này sẽ khác.",<ruby>失敗<rt>しっぱい</rt></ruby>する,<ruby>前回<rt>ぜんかい</rt></ruby>は？,<ruby>失敗<rt>しっぱい</rt></ruby>したけど<ruby>今回<rt>こんかい</rt></ruby>は<ruby>違<rt>ちが</rt></ruby>う。,To fail,Last time?,"Failed, but this time's different.",Verb
221,Core Extended,Tăng,Doanh thu tăng chưa?,Tăng 20% rồi.,<ruby>増<rt>ふ</rt></ruby>える,<ruby>売上<rt>うりあげ</rt></ruby><ruby>増<rt>ふ</rt></ruby>えた？,20%<ruby>増<rt>ふ</rt></ruby>えた。,To increase,Revenue up?,Up 20%.,Verb
222,Core Extended,Giảm,Chi phí giảm chưa?,Giảm 10% rồi.,<ruby>減<rt>へ</rt></ruby>る,コスト<ruby>下<rt>さ</rt></ruby>がった？,10%<ruby>下<rt>さ</rt></ruby>がった。,To decrease,Costs down?,Down 10%.,Verb
223,Core Extended,Hoàn thành,Hoàn thành chưa?,Gần xong rồi.,<ruby>完了<rt>かんりょう</rt></ruby>する,<ruby>完了<rt>かんりょう</rt></ruby>した？,もうすぐ。,To complete,Completed?,Almost done.,Verb
224,Core Extended,Hủy,Hủy đơn được không?,"Được, hủy ngay.",キャンセルする,キャンセルできる？,はい、すぐに。,To cancel,Can we cancel?,"Yes, right away.",Verb
225,Core Extended,Kiểm tra,Kiểm tra lại nhé.,"OK, tôi kiểm tra.",チェックする,もう<ruby>一度<rt>いちど</rt></ruby>チェックして。,OK、チェックする。,To check,Check again.,"OK, I'll check.",Verb
226,Core Extended,Xác nhận,Xác nhận lịch họp nhé.,Đã xác nhận rồi.,<ruby>確認<rt>かくにん</rt></ruby>する,<ruby>会議<rt>かいぎ</rt></ruby>の<ruby>予定<rt>よてい</rt></ruby>を<ruby>確認<rt>かくにん</rt></ruby>して。,<ruby>確認<rt>かくにん</rt></ruby>済みです。,To confirm,Confirm the schedule.,Already confirmed.,Verb
227,Core Extended,Chia sẻ,Chia sẻ tài liệu nhé.,Gửi qua email nhé.,<ruby>共有<rt>きょうゆう</rt></ruby>する,<ruby>資料<rt>しりょう</rt></ruby>を<ruby>共有<rt>きょうゆう</rt></ruby>して。,メールで<ruby>送<rt>おく</rt></ruby>るね。,To share,Share the doc.,I'll email it.,Verb
228,Core Extended,Liên lạc,Liên lạc sao?,Gọi điện hoặc nhắn tin.,<ruby>連絡<rt>れんらく</rt></ruby>する,どうやって<ruby>連絡<rt>れんらく</rt></ruby>する？,<ruby>電話<rt>でんわ</rt></ruby>かメッセージで。,To contact,How to contact?,Call or text.,Verb
229,Core Extended,Thảo luận,Cần thảo luận thêm.,"OK, họp lại chiều nay.",<ruby>議論<rt>ぎろん</rt></ruby>する,もっと<ruby>議論<rt>ぎろん</rt></ruby>が<ruby>必要<rt>ひつよう</rt></ruby>。,OK、<ruby>午後<rt>ごご</rt></ruby>にまた<ruby>会議<rt>かいぎ</rt></ruby>しよう。,To discuss,Need more discussion.,"OK, let's meet this PM.",Verb
230,Core Extended,Bảo vệ,Bảo vệ dữ liệu thế nào?,Dùng mã hóa.,<ruby>守<rt>まも</rt></ruby>る,データをどう<ruby>守<rt>まも</rt></ruby>る？,<ruby>暗号化<rt>あんごうか</rt></ruby>で。,To protect,How to protect data?,Use encryption.,Verb
231,Core Extended,Tiết kiệm,Tiết kiệm chi phí được không?,"Được, cắt giảm 15%.",<ruby>節約<rt>せつやく</rt></ruby>する,コスト<ruby>削減<rt>さくげん</rt></ruby>できる？,はい、15%カットできる。,To save,Can we cut costs?,"Yes, cut 15%.",Verb
232,Core Extended,Mượn,Mượn bút được không?,"Được, đây.",<ruby>借<rt>か</rt></ruby>りる,ペン<ruby>借<rt>か</rt></ruby>りていい？,いいよ、はい。,To borrow,Can I borrow a pen?,"Sure, here.",Verb
233,Core Extended,Dạy,Dạy tôi tiếng Việt nhé.,"Được, bắt đầu từ cơ bản.",<ruby>教<rt>おし</rt></ruby>える,ベトナム<ruby>語<rt>ご</rt></ruby><ruby>教<rt>おし</rt></ruby>えて。,いいよ、<ruby>基本<rt>きほん</rt></ruby>から。,To teach,Teach me Vietnamese.,"OK, from the basics.",Verb
234,Core Extended,Luyện tập,Luyện tập mỗi ngày nhé.,"Vâng, tôi sẽ cố.",<ruby>練習<rt>れんしゅう</rt></ruby>する,<ruby>毎日<rt>まいにち</rt></ruby><ruby>練習<rt>れんしゅう</rt></ruby>してね。,はい、<ruby>頑張<rt>がんば</rt></ruby>ります。,To practice,Practice daily.,"Yes, I'll try.",Verb
235,Core Extended,Đầu,Anh sao vậy?,Đau đầu quá.,<ruby>頭<rt>あたま</rt></ruby>,どうしたの？,<ruby>頭<rt>あたま</rt></ruby>が<ruby>痛<rt>いた</rt></ruby>い。,Head,What's wrong?,Headache.,Body
236,Core Extended,Mắt,Mắt sao đỏ vậy?,Mất ngủ.,<ruby>目<rt>め</rt></ruby>,<ruby>目<rt>め</rt></ruby>が<ruby>赤<rt>あか</rt></ruby>いよ。,<ruby>寝不足<rt>ねぶそく</rt></ruby>で。,Eye,Eyes are red.,Lack of sleep.,Body
237,Core Extended,Tay,Tay sao vậy?,Bị thương nhẹ thôi.,<ruby>手<rt>て</rt></ruby>,<ruby>手<rt>て</rt></ruby>どうしたの？,ちょっと<ruby>怪我<rt>けが</rt></ruby>しただけ。,Hand,What happened to your hand?,Just a small injury.,Body
238,Core Extended,Chân,Chân đau không?,Hơi đau.,<ruby>足<rt>あし</rt></ruby>,<ruby>足<rt>あし</rt></ruby><ruby>痛<rt>いた</rt></ruby>い？,ちょっと<ruby>痛<rt>いた</rt></ruby>い。,Foot / Leg,Does your leg hurt?,A little.,Body
239,Core Extended,Bụng,Đau bụng hả?,"Ừ, ăn gì sai rồi.",お<ruby>腹<rt>なか</rt></ruby>,お<ruby>腹<rt>なか</rt></ruby><ruby>痛<rt>いた</rt></ruby>い？,うん、<ruby>何<rt>なに</rt></ruby>か<ruby>悪<rt>わる</rt></ruby>いもの<ruby>食<rt>た</rt></ruby>べた。,Stomach,Stomachache?,"Yeah, ate something bad.",Body
240,Core Extended,Ốm,Anh ốm hả?,"Ừ, bị cảm.",<ruby>病気<rt>びょうき</rt></ruby>,<ruby>具合<rt>ぐあい</rt></ruby><ruby>悪<rt>わる</rt></ruby>い？,うん、<ruby>風邪<rt>かぜ</rt></ruby>ひいた。,Sick,Are you sick?,"Yeah, caught a cold.",Health
241,Core Extended,Khỏe mạnh,Trông anh khỏe mạnh.,"Cảm ơn, tôi tập gym mỗi ngày.",<ruby>健康<rt>けんこう</rt></ruby>,<ruby>健康<rt>けんこう</rt></ruby>そうだね。,ありがとう、<ruby>毎日<rt>まいにち</rt></ruby>ジムに<ruby>行<rt>い</rt></ruby>ってる。,Healthy,You look healthy.,"Thanks, gym every day.",Health
242,Core Extended,Thuốc,Uống thuốc chưa?,Uống rồi.,<ruby>薬<rt>くすり</rt></ruby>,<ruby>薬<rt>くすり</rt></ruby><ruby>飲<rt>の</rt></ruby>んだ？,<ruby>飲<rt>の</rt></ruby>んだよ。,Medicine,Took your medicine?,"Yes, took it.",Health
243,Core Extended,Bệnh viện,Cần đi bệnh viện không?,"Không cần, nghỉ ngơi là khỏe.",<ruby>病院<rt>びょういん</rt></ruby>,<ruby>病院<rt>びょういん</rt></ruby>に<ruby>行<rt>い</rt></ruby>く？,<ruby>大丈夫<rt>だいじょうぶ</rt></ruby>、<ruby>休<rt>やす</rt></ruby>めば<ruby>治<rt>なお</rt></ruby>る。,Hospital,Need to go to hospital?,"No, rest will fix it.",Health
244,Core Extended,Bác sĩ,Gặp bác sĩ chưa?,"Rồi, bác sĩ nói không sao.",<ruby>医者<rt>いしゃ</rt></ruby>,<ruby>医者<rt>いしゃ</rt></ruby>に<ruby>行<rt>い</rt></ruby>った？,<ruby>行<rt>い</rt></ruby>ったよ、<ruby>大丈夫<rt>だいじょうぶ</rt></ruby>だって。,Doctor,Seen the doctor?,"Yes, doctor said I'm fine.",Health
245,Core Extended,Nghỉ ngơi,Anh nên nghỉ ngơi.,"Ừ, tôi sẽ nghỉ.",<ruby>休<rt>やす</rt></ruby>む,<ruby>休<rt>やす</rt></ruby>んだ<ruby>方<rt>ほう</rt></ruby>がいいよ。,うん、<ruby>休<rt>やす</rt></ruby>むよ。,To rest,You should rest.,"Yeah, I'll rest.",Health
246,Core Extended,Dị ứng,Dị ứng gì?,Dị ứng hải sản.,アレルギー,<ruby>何<rt>なに</rt></ruby>アレルギー？,<ruby>海鮮<rt>かいせん</rt></ruby>アレルギー。,Allergy,Allergic to what?,Seafood.,Health
247,Core Extended,Đỏ,Thích màu gì?,Thích màu đỏ.,<ruby>赤<rt>あか</rt></ruby>,<ruby>何色<rt>なにいろ</rt></ruby>が<ruby>好<rt>す</rt></ruby>き？,<ruby>赤<rt>あか</rt></ruby>が<ruby>好<rt>す</rt></ruby>き。,Red,What color do you like?,I like red.,Color
248,Core Extended,Xanh,Trời xanh quá!,Đẹp nhỉ.,<ruby>青<rt>あお</rt></ruby>い,<ruby>空<rt>そら</rt></ruby>が<ruby>青<rt>あお</rt></ruby>い！,<ruby>綺麗<rt>きれい</rt></ruby>だね。,Blue,The sky is so blue!,Beautiful.,Color
249,Core Extended,Trắng,Áo trắng hay đen?,Trắng đi.,<ruby>白<rt>しろ</rt></ruby>,<ruby>白<rt>しろ</rt></ruby>と<ruby>黒<rt>くろ</rt></ruby>どっち？,<ruby>白<rt>しろ</rt></ruby>にしよう。,White,White or black shirt?,White.,Color
250,Core Extended,Đen,Xe màu gì?,Xe đen.,<ruby>黒<rt>くろ</rt></ruby>,<ruby>車<rt>くるま</rt></ruby>は<ruby>何色<rt>なにいろ</rt></ruby>？,<ruby>黒<rt>くろ</rt></ruby>。,Black,What color's the car?,Black.,Color
251,Core Extended,Vàng,Hoa gì vậy?,"Hoa vàng, đẹp không?",<ruby>黄色<rt>きいろ</rt></ruby>,<ruby>何<rt>なん</rt></ruby>の<ruby>花<rt>はな</rt></ruby>？,<ruby>黄色<rt>きいろ</rt></ruby>い<ruby>花<rt>はな</rt></ruby>、<ruby>綺麗<rt>きれい</rt></ruby>でしょ？,Yellow,What flower?,"Yellow flowers, pretty right?",Color
252,Core Extended,Xanh lá,Cây xanh lá quá.,Không khí trong lành.,<ruby>緑<rt>みどり</rt></ruby>,<ruby>木<rt>き</rt></ruby>が<ruby>緑<rt>みどり</rt></ruby>だね。,<ruby>空気<rt>くうき</rt></ruby>も<ruby>綺麗<rt>きれい</rt></ruby>。,Green,Trees are so green.,Fresh air too.,Color
253,Core Extended,Áo,Áo này bao nhiêu?,200 nghìn.,<ruby>服<rt>ふく</rt></ruby>,この<ruby>服<rt>ふく</rt></ruby>いくら？,20<ruby>万<rt>まん</rt></ruby>ドン。,Shirt,How much is this shirt?,200K dong.,Clothing
254,Core Extended,Quần,Quần này vừa không?,Vừa lắm.,ズボン,このズボン<ruby>合<rt>あ</rt></ruby>う？,ぴったり。,Pants,Do these pants fit?,Perfect fit.,Clothing
255,Core Extended,Giày,Giày mới hả?,"Ừ, mới mua.",<ruby>靴<rt>くつ</rt></ruby>,<ruby>新<rt>あたら</rt></ruby>しい<ruby>靴<rt>くつ</rt></ruby>？,うん、<ruby>買<rt>か</rt></ruby>ったばかり。,Shoes,New shoes?,"Yeah, just got them.",Clothing
256,Core Extended,Mũ,"Đội mũ đi, nắng lắm.","Ừ, cảm ơn nhắc.",<ruby>帽子<rt>ぼうし</rt></ruby>,<ruby>帽子<rt>ぼうし</rt></ruby>かぶって、<ruby>暑<rt>あつ</rt></ruby>いよ。,うん、ありがとう。,Hat,"Wear a hat, it's sunny.","Yeah, thanks for reminding.",Clothing
257,Core Extended,Túi,Túi anh đẹp quá.,"Cảm ơn, mua ở Hàn.",かばん,いいかばんだね。,ありがとう、<ruby>韓国<rt>かんこく</rt></ruby>で<ruby>買<rt>か</rt></ruby>った。,Bag,Nice bag.,"Thanks, bought in Korea.",Clothing
